Name,DisplayName,Birthday,Gender,BloodType,EmailAddress,PostCode,Address,CompanyName
Baba Mako,馬場 真子,2008年11月28日,女,B,baba1128@example.com,033-7878,青森県弘前市大字松原東3-2-11,
Hayashi Takako,林 貴子,1984年5月7日,女,B,takako_hayashi@example.jp,207-5405,東京都新宿区北新宿1-2-11,株式会社幸和
Ueda Satoshi,上田 敏志,1978年2月18日,男,O,satoshi_ueda@example.jp,193-6451,東京都渋谷区神宮前3-1-5グランドプラザ803,株式会社ハート
Hirokawa Kenji,広川 健二,1945年3月11日,男,O,kenjihirokawa@example.com,017-0522,秋田県秋田市土崎港中央3-1-3ネオディ306,
Koshida Kaoru,越田 馨,1962年5月24日,男,A,kaorukoshida@example.net,986-4036,宮城県仙台市青葉区中山3-2-406,
Taniguchi Kentarou,谷口 健太郎,2004年9月21日,男,O,taniguchi921@example.org,169-7986,東京都大田区西六郷2-1-11ザ・パークハウス710,有限会社岡田商事
Okudera Koji,奥寺 浩志,1985年6月4日,男,O,okuderakoji@example.co.jp,231-3632,神奈川県横浜市港北区大倉山2-2-3,有限会社クロス
Suzuki Naoko,鈴木 直子,2006年10月20日,女,A,suzuki_1020@example.com,074-8824,北海道旭川市永山三条1-4-7,有限会社サンエイ
Yatabe Mitsue,谷田部 光恵,1958年11月12日,その他・不明,A,yatabe1112@example.net,410-3397,静岡県浜松市中区高丘北2-3-22,
Ota Kengo,太田 健吾,1975年4月29日,男,B,kengoota@example.jp,197-4044,東京都新宿区西新宿2-2-4,
Kondou Hideki,近藤 秀樹,1991年9月17日,男,A,kondou_hideki@example.jp,655-0736,兵庫県神戸市須磨区戎町2-5-12アパ504,
Saito Ryuuji,齊藤 隆司,1974年3月21日,男,A,saito_ryuuji@example.jp,162-5510,東京都大田区大森北2-1-9,株式会社HANA
Yanase Asami,梁瀬 麻美,1961年2月17日,女,B,yanase217@example.ne.jp,191-6613,東京都江戸川区北葛西2-2-10ロイヤルグラン806,
Nakamura Rie,中村 理恵,1958年7月25日,女,A,nakamura725@example.jp,348-4927,埼玉県八潮市大瀬1-2-404,
Sato Reiko,佐藤 麗子,1995年7月14日,女,O,satoreiko@example.co.jp,145-2908,東京都品川区西五反田2-3-4,合資会社藤屋
Yamamoto Takayuki,山元 隆之,2010年11月16日,男,O,takayukiyamamoto@example.org,341-4575,埼玉県川口市飯塚4-1-4,
Yagihashi Ai,八木橋 藍,1953年5月23日,女,AB,ai_yagihashi@example.co.jp,982-2433,宮城県仙台市若林区卸町2-4-12,
Fujii Tomokazu,藤井 友和,1946年5月23日,男,O,fujiitomokazu@example.ne.jp,001-1772,北海道札幌市東区北六条東3-1-17,
Date Kanako,伊達 華奈子,1980年12月6日,女,O,kanako_date@example.net,926-2794,石川県金沢市西念1-2-6,株式会社アローズ
Nakama Daisuke,仲摩 大助,1983年11月20日,男,A,nakama_daisuke@example.com,352-2614,埼玉県三郷市早稲田3-3-7,野呂合名会社
